Unnamed: 0,S1,P1,P2,P3,P4,P5
225,0.496660807,0.033329365,0.317732426,0.311641141,0.113938167,0.031798493
226,0.533305296,0.030744048,0.340653061,0.32511036,0.116229321,0.031909605
227,0.568815705,0.026942791,0.36457672,0.336283283,0.118004009,0.031724419
228,0.603714286,0.022910714,0.387238095,0.346959459,0.120315734,0.033224576
229,0.630305444,0.020451389,0.406334467,0.353760511,0.124524581,0.035613465
230,0.65179511,0.01979828,0.419402872,0.351534284,0.124487544,0.036373038
231,0.667139569,0.020066138,0.427906274,0.343622122,0.12352767,0.037224733
232,0.681215868,0.019857474,0.433616402,0.329516016,0.121935078,0.037632141
233,0.694490704,0.017950066,0.435511716,0.312561311,0.12002767,0.038873038
234,0.705664046,0.01838459,0.435379063,0.296646897,0.121374379,0.04318801
235,0.711584804,0.019675926,0.431184429,0.277317818,0.119781787,0.045243723
236,0.705701083,0.020037698,0.422909297,0.257710961,0.118271501,0.047197505
237,0.690125501,0.020866071,0.41264966,0.236918919,0.117215945,0.049290254
238,0.666485462,0.021921627,0.399800454,0.21417042,0.115631585,0.051818267
239,0.642551352,0.023130291,0.383988284,0.191303554,0.11490422,0.056059165
240,0.621042452,0.024645172,0.364049509,0.167666166,0.113070887,0.059698289
241,0.604401696,0.02619709,0.342345049,0.146755005,0.113134675,0.064874451
242,0.59378836,0.027484788,0.318492441,0.127763263,0.112830146,0.067902464
243,0.584432058,0.028314484,0.291664399,0.113765015,0.113131585,0.072180556
244,0.563275726,0.032184854,0.262422525,0.10300025,0.112181998,0.076050926
245,0.522020843,0.036046627,0.22964059,0.096028529,0.11349167,0.082301318
246,0.463134822,0.040181217,0.197846183,0.091479479,0.116010188,0.089440599
247,0.399448054,0.043352844,0.169690854,0.087156657,0.116385701,0.093616918
248,0.345418336,0.043738095,0.149020408,0.086538288,0.11970257,0.098774718
249,0.303098279,0.046975198,0.135303855,0.088427177,0.123051332,0.102811911
250,0.272886392,0.051138228,0.127615268,0.093964965,0.12832602,0.108599184
251,0.251253029,0.055809854,0.122769463,0.099554304,0.134841449,0.115127197
252,0.234735227,0.060875331,0.120201436,0.104766016,0.140314697,0.121608836
253,0.220970009,0.062816138,0.119794029,0.108581582,0.145327037,0.126822191
254,0.208929239,0.064428571,0.120343537,0.112297297,0.149755016,0.130266949
255,0.199531449,0.066938492,0.123022676,0.118831832,0.153812625,0.131693032
256,0.190226252,0.067273148,0.127495087,0.124114364,0.155822911,0.130387555
257,0.181964768,0.070180556,0.133504535,0.130778529,0.158550276,0.13047081
258,0.175898086,0.071190476,0.142384354,0.137813063,0.162787927,0.133424435
259,0.175278074,0.07312996,0.14924263,0.144436186,0.167803356,0.138100753
260,0.174292143,0.073481812,0.153897203,0.1497002,0.170935039,0.13960091
261,0.174592889,0.072676918,0.159162887,0.152730731,0.170677833,0.136388026
262,0.177935123,0.074843585,0.166132275,0.158775776,0.16924471,0.130461472
263,0.18331662,0.076880622,0.173873394,0.165346597,0.165862001,0.122905289
264,0.191654403,0.076800265,0.178774754,0.168691191,0.159942254,0.113987916
265,0.19877219,0.072331019,0.182487906,0.169302302,0.153273534,0.107302417
266,0.206614424,0.065265542,0.186256614,0.170847347,0.149980328,0.105469083
267,0.214456658,0.059700066,0.189623961,0.171858609,0.147507079,0.103487445
268,0.222724818,0.057060516,0.193216553,0.173106607,0.143639798,0.098283427
269,0.230731494,0.055444444,0.194216553,0.171572823,0.134760178,0.085866055
270,0.239256688,0.052998677,0.195034392,0.167368368,0.121899077,0.069818895
271,0.247078178,0.046233135,0.193549887,0.160649399,0.106834272,0.053568032
272,0.253200415,0.036814484,0.189626984,0.15185961,0.092052388,0.040076742
273,0.257577461,0.028140212,0.183993953,0.144007007,0.079363096,0.029678045
274,0.262699698,0.020453704,0.17526833,0.137183433,0.071901169,0.024510907
275,0.269613781,0.015780754,0.165570295,0.129955706,0.065708788,0.020621704
276,0.275208599,0.010742394,0.155292139,0.120591091,0.058534925,0.016075173
277,0.277824161,0.007439815,0.145566515,0.109922923,0.051712914,0.012380493
278,0.27626638,0.005818783,0.135973545,0.100243493,0.047044194,0.010343299
279,0.271183405,0.005795304,0.124362056,0.090200951,0.043536998,0.009287586
280,0.26423451,0.005684193,0.111645503,0.078920921,0.039646056,0.008352323
281,0.257871532,0.003549603,0.097521542,0.065733483,0.033667664,0.005509652
282,0.252128566,0.001243386,0.083243386,0.053024274,0.027813759,0.002611425
283,0.248480418,-0.000404762,0.070989796,0.042740991,0.023165611,0.000314972
284,0.247124116,-0.00042328,0.061168556,0.03581031,0.019867261,-0.000379394
285,0.244545592,-0.000396164,0.053424414,0.031157407,0.018166647,-0.000120135
286,0.236530015,0.000270503,0.046186319,0.026256507,0.016693398,4.65E-05
287,0.218917396,-0.000706019,0.039192366,0.021785536,0.015100806,-0.000370213
288,0.195061811,-0.002372685,0.032325019,0.01774049,0.012934139,-0.00153688
289,0.17114622,-0.002877646,0.028432729,0.015817818,0.012225292,-0.001398227
290,0.150806928,-0.002859127,0.025750567,0.013802553,0.011603895,-0.000731403
291,0.137106166,-0.001493717,0.023330688,0.012405656,0.011585377,-7.41E-05
292,0.130483929,-0.000387566,0.02035223,0.010594094,0.011127557,0.000472301
293,0.126886886,-0.000646825,0.017092971,0.00999024,0.01104834,0.000888889
294,0.1192691,-0.002257937,0.013981859,0.009034535,0.010617271,0.00060193
295,0.107327597,-0.002133267,0.01232124,0.007275275,0.009218096,-0.000333176
296,0.089879419,-0.001892526,0.01116062,0.005326827,0.007958837,-0.001592436
297,0.071153464,-0.002313492,0.010021542,0.004478979,0.0069218,-0.002129473
298,0.052499357,-0.001993717,0.008925926,0.003993493,0.007625504,-0.001425769
299,0.035539336,-0.002655423,0.006348828,0.003526527,0.007527768,-0.000851852
300,0.023731914,-0.002618386,0.005185185,0.003718969,0.007704721,9.34E-06
