Al,Sc,V,Cr,Mn,Fe(II),Fe(III),Co,Cu,Zn,In,MA-Fe,MA-Co,c_2py,c_epox,c_uf1,c_uf3,c_uf4,avg_valence
0,0,0,0,0,0,0,0,0,0,100,100,0,0.297144134,0.0,0.0,0.067719615,0.0,3.0
0,0,0,0,0,0,0,0,0,50,50,100,0,0.30871791,0.0,0.0,0.077348038,0.0,2.5
0,0,0,0,0,0,0,0,50,0,50,100,0,0.280478139,0.0,0.0,0.09246983,0.0,2.5
0,0,0,0,0,0,0,0,50,50,0,100,0,0.017311619,0.549543772,0.014335672,0.0,0.050738259,2.0
0,0,0,0,0,0,0,50,0,0,50,100,0,0.328799908,0.0,0.0,0.072841688,0.0,2.5
0,0,0,0,0,0,0,50,0,50,0,100,0,0.332034027,0.0,0.0,0.072385797,0.0,2.0
0,0,0,0,0,0,0,50,50,0,0,100,0,0.289929186,0.0,0.0,0.103901047,0.0,2.0
0,0,0,0,0,0,0,100,0,0,0,100,0,0.341700485,0.0,0.0,0.074051893,0.0,2.0
0,0,0,0,0,0,50,0,0,0,50,100,0,0.300706615,0.0,0.0,0.083412457,0.0,3.0
0,0,0,0,0,0,50,0,0,50,0,100,0,0.328829515,0.0,0.0,0.085580001,0.0,2.5
0,0,0,0,0,0,50,50,0,0,0,100,0,0.334765665,0.0,0.0,0.083152942,0.0,2.5
0,0,0,0,0,0,100,0,0,0,0,100,0,0.244943421,0.059683486,0.0,0.128345964,0.0,3.0
0,0,0,0,0,50,0,0,0,0,50,100,0,0.334185308,0.0,0.0,0.093687194,0.0,2.5
0,0,0,0,0,50,0,0,0,50,0,100,0,0.319647925,0.0,0.0,0.072092142,0.0,2.0
0,0,0,0,0,50,0,0,50,0,0,100,0,0.272310342,0.0,0.0,0.113443768,0.0,2.0
0,0,0,0,0,50,0,50,0,0,0,100,0,0.3367577,0.0,0.0,0.074194374,0.0,2.0
0,0,0,0,0,50,50,0,0,0,0,100,0,0.282495259,0.0,0.0,0.126482309,0.0,2.5
0,0,0,0,0,100,0,0,0,0,0,100,0,0.342430999,0.0,0.0,0.101029132,0.0,2.0
0,0,0,0,50,0,0,0,0,0,50,100,0,0.298540067,0.0,0.0,0.118676135,0.0,2.5
0,0,0,0,50,0,0,0,0,50,0,100,0,0.308759352,0.0,0.0,0.092216574,0.0,2.0
0,0,0,0,50,0,0,0,50,0,0,100,0,0.137765235,0.354190384,0.0,0.044470112,0.0,2.0
0,0,0,0,50,0,0,50,0,0,0,100,0,0.328389955,0.0,0.0,0.09648784,0.0,2.0
0,0,0,0,50,0,50,0,0,0,0,100,0,0.319308669,0.0,0.0,0.094562514,0.0,2.5
